PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
v_wounded_1_3,viewpoint,985,761,34.39,1.8623,0.7695,0.8091,0.8284,1,1,1,0.0000,0.3792,0.6275,0.8138
v_wounded_1_4,viewpoint,393,242,37.43,13.8306,0.6056,0.7023,0.7354,0,0,0,0.0000,0.0000,0.0000,0.0000
v_wounded_1_5,viewpoint,854,630,33.86,2.5816,0.7412,0.8068,0.8337,1,1,1,0.0000,0.1395,0.4837,0.7418
v_wounded_1_6,viewpoint,426,268,32.01,5.2418,0.6432,0.7254,0.7864,0,0,1,0.0000,0.0000,0.0000,0.4758
v_yard_1_2,viewpoint,1481,1478,33.83,0.6506,0.9980,0.9986,1.0000,1,1,1,0.3494,0.7831,0.8699,0.9349
v_yard_1_3,viewpoint,884,859,31.02,1.7562,0.9672,0.9864,0.9864,1,1,1,0.0000,0.4146,0.6488,0.8244
v_yard_1_4,viewpoint,1291,1288,30.83,0.3391,0.9977,0.9992,1.0000,1,1,1,0.6609,0.8870,0.9322,0.9661
v_yard_1_5,viewpoint,1072,1056,31.21,0.5635,0.9851,0.9953,0.9981,1,1,1,0.4365,0.8122,0.8873,0.9436
v_yard_1_6,viewpoint,554,462,30.43,1.9005,0.8357,0.9152,0.9296,1,1,1,0.0000,0.3665,0.6199,0.8099
v_yuri_1_2,viewpoint,1909,1726,37.45,0.7163,0.8942,0.9450,0.9644,1,1,1,0.2837,0.7612,0.8567,0.9284
v_yuri_1_3,viewpoint,992,833,33.64,3.5906,0.8397,0.8679,0.8821,0,1,1,0.0000,0.0000,0.2819,0.6409
v_yuri_1_4,viewpoint,690,570,32.79,8.0047,0.8116,0.8609,0.8870,0,0,0,0.0000,0.0000,0.0000,0.1995
v_yuri_1_5,viewpoint,1099,1004,34.64,1.5375,0.9136,0.9527,0.9691,1,1,1,0.0000,0.4875,0.6925,0.8462
v_yuri_1_6,viewpoint,704,585,32.77,3.4887,0.8267,0.8651,0.8835,0,1,1,0.0000,0.0000,0.3023,0.6511
