timestamp,total_kpts0,total_kpts1,matched_kpts,inliers,fps,gpu_usage_%,gpu_memory_mb,cpu_usage_%,memory_mb
2026-01-20 17:38:17.936,42,42,42,42,6.164785078597517,0,0.0,0.0,818.3984375
2026-01-20 17:38:17.990,42,46,31,25,9.390740916952597,0,0.0,279.6,875.66796875
2026-01-20 17:38:18.090,42,38,28,22,12.985029136027206,0,0.0,279.5,929.07421875
2026-01-20 17:38:18.141,42,38,28,22,13.998128378297197,0,0.0,257.1,953.2890625
2026-01-20 17:38:18.238,42,48,27,21,15.511954613993879,0,0.0,267.9,972.625
2026-01-20 17:38:18.334,42,47,25,22,16.531499144055708,0,0.0,289.6,972.46484375
2026-01-20 17:38:18.430,42,40,25,21,17.291794657299924,7,0.0,293.9,981.9765625
2026-01-20 17:38:18.525,42,48,28,18,17.858729679396774,7,0.0,304.0,985.3125
2026-01-20 17:38:18.626,42,51,24,19,18.154268064654637,7,0.0,286.3,987.6328125
2026-01-20 17:38:18.726,42,46,22,12,18.427195781936103,7,0.0,280.8,1002.19140625
2026-01-20 17:38:18.823,42,46,22,14,18.702805686896806,7,0.0,299.2,981.59765625
2026-01-20 17:38:18.921,42,50,24,16,18.91929863149285,7,0.0,276.4,982.625
2026-01-20 17:38:19.019,42,55,24,17,19.087606440190484,7,0.0,283.8,983.59765625
2026-01-20 17:38:19.117,42,48,24,13,19.250357120105626,7,0.0,267.1,1005.68359375
2026-01-20 17:38:19.212,42,49,22,15,19.4238026304054,7,0.0,284.3,988.3984375
2026-01-20 17:38:19.308,42,57,23,16,19.552896665513547,7,0.0,279.2,992.8984375
2026-01-20 17:38:19.405,42,44,20,15,21.213355791583346,7,0.0,278.6,993.02734375
2026-01-20 17:38:19.501,42,47,19,12,21.29033207769748,7,0.0,304.2,999.40234375
2026-01-20 17:38:19.597,42,48,17,13,21.37954142151582,7,0.0,291.9,993.12890625
2026-01-20 17:38:19.648,42,52,23,15,21.362467394972935,7,0.0,291.9,993.87890625
2026-01-20 17:38:19.746,42,61,25,14,21.322650751246147,7,0.0,284.7,993.65625
2026-01-20 17:38:19.842,42,47,22,10,21.32679960007098,7,0.0,291.9,994.234375
2026-01-20 17:38:19.893,42,58,24,13,21.27690385487843,7,0.0,255.7,993.74609375
2026-01-20 17:38:19.943,42,58,24,13,21.236914176984072,7,0.0,278.0,994.44140625
2026-01-20 17:38:20.041,42,48,18,13,21.206130490324625,7,0.0,285.8,1008.33984375
2026-01-20 17:38:20.139,42,68,25,14,21.29199288220097,7,0.0,265.6,997.5234375
2026-01-20 17:38:20.235,42,50,21,13,21.336303220103574,7,0.0,270.5,995.3203125
2026-01-20 17:38:20.286,42,50,21,13,21.299107371069507,7,0.0,256.0,998.140625
2026-01-20 17:38:20.336,42,55,18,11,21.26338116993858,7,0.0,259.0,1002.05078125
2026-01-20 17:38:20.435,42,50,22,12,21.286146990982548,7,0.0,264.4,998.578125
2026-01-20 17:38:20.532,42,48,22,13,21.297568018388176,7,0.0,298.4,1002.37109375
2026-01-20 17:38:20.628,42,53,23,13,21.292861215026573,7,0.0,290.4,994.796875
2026-01-20 17:38:20.727,42,79,25,19,21.25347928290668,7,0.0,294.4,995.13671875
2026-01-20 17:38:20.824,42,61,24,12,21.23409014164653,7,0.0,287.2,994.70703125
2026-01-20 17:38:20.923,42,65,22,14,21.220127945635078,7,0.0,275.0,994.5703125
2026-01-20 17:38:21.021,42,65,27,18,21.169027022116346,7,0.0,284.5,994.98828125
2026-01-20 17:38:21.071,42,65,27,18,21.136390894440268,7,0.0,297.4,994.87890625
2026-01-20 17:38:21.127,42,58,25,18,21.07675271350642,7,0.0,252.2,994.72265625
2026-01-20 17:38:21.227,42,61,24,16,21.0513995355376,7,0.0,289.3,994.55859375
2026-01-20 17:38:21.325,42,74,28,18,21.02370433811793,7,0.0,276.1,995.16015625
2026-01-20 17:38:21.376,42,70,26,13,21.019553182280372,7,0.0,273.5,998.6796875
2026-01-20 17:38:21.430,42,70,26,13,20.962914723506,7,0.0,278.7,998.7265625
2026-01-20 17:38:21.529,42,68,27,17,20.946189075344883,7,0.0,293.3,999.109375
2026-01-20 17:38:21.585,42,65,24,14,20.83245296026376,7,0.0,265.3,995.3359375
2026-01-20 17:38:21.685,42,74,24,16,20.79272680763561,7,0.0,290.8,995.12890625
2026-01-20 17:38:21.735,42,74,20,10,20.774546140766326,7,0.0,279.9,998.66015625
2026-01-20 17:38:21.832,42,75,24,16,20.822700161942596,7,0.0,297.9,1001.859375
2026-01-20 17:38:21.883,42,71,23,13,20.79954588800698,7,0.0,277.3,998.51953125
2026-01-20 17:38:21.979,42,73,24,14,20.8321632439794,7,0.0,301.7,995.5390625
2026-01-20 17:38:22.080,42,64,20,13,20.760085449723054,7,0.0,287.9,995.0625
2026-01-20 17:38:22.177,42,66,23,16,20.764970835103227,7,0.0,287.3,995.39453125
2026-01-20 17:38:22.275,42,68,23,13,20.768333013957943,7,0.0,275.7,995.38671875
2026-01-20 17:38:22.373,42,80,23,16,20.76214415724625,7,0.0,286.9,995.36328125
2026-01-20 17:38:22.470,42,70,25,13,20.772711304343233,7,0.0,309.7,995.65625
2026-01-20 17:38:22.521,42,70,25,13,20.753788545405396,7,0.0,293.4,995.75390625
2026-01-20 17:38:22.620,42,68,26,12,20.85102885459226,7,0.0,283.5,995.2421875
2026-01-20 17:38:22.717,42,69,25,15,20.90051398714766,7,0.0,268.0,996.23828125
2026-01-20 17:38:22.814,42,74,24,15,20.905906811472192,7,0.0,277.3,996.80859375
2026-01-20 17:38:22.865,42,72,24,15,20.91277253648293,7,0.0,256.5,996.546875
2026-01-20 17:38:22.963,42,79,24,18,20.937952971727494,7,0.0,294.8,996.0
2026-01-20 17:38:23.013,42,71,23,14,20.985181353060845,7,0.0,280.0,996.59765625
2026-01-20 17:38:23.112,42,84,23,16,21.08955472285805,7,0.0,283.0,996.7421875
2026-01-20 17:38:23.167,42,84,23,16,21.020476690211503,7,0.0,272.3,996.7265625
2026-01-20 17:38:23.265,42,69,26,15,21.0445973643477,7,0.0,295.9,996.921875
2026-01-20 17:38:23.363,42,67,23,14,21.046663604623042,8,0.0,266.0,998.02734375
2026-01-20 17:38:23.461,42,60,19,10,21.01441041165018,8,0.0,285.1,997.73046875
2026-01-20 17:38:23.559,42,63,25,15,21.0569092766015,8,0.0,297.0,998.46484375
2026-01-20 17:38:23.655,42,64,21,12,21.07691158355497,8,0.0,279.1,997.6796875
2026-01-20 17:38:23.755,42,75,25,15,21.052843626120435,8,0.0,291.2,997.66015625
2026-01-20 17:38:23.853,42,64,23,17,21.041060705632113,8,0.0,284.6,998.0859375
2026-01-20 17:38:23.904,42,64,23,17,21.001541703865676,8,0.0,273.7,997.52734375
2026-01-20 17:38:23.955,42,72,27,19,20.986017840658253,8,0.0,296.6,997.64453125
2026-01-20 17:38:24.052,42,65,26,16,21.01534048747313,8,0.0,268.1,1001.37109375
2026-01-20 17:38:24.102,42,65,26,16,21.026669449521187,8,0.0,299.0,997.79296875
2026-01-20 17:38:24.201,42,72,27,16,20.997935402736644,8,0.0,262.7,997.55078125
2026-01-20 17:38:24.300,42,82,26,20,20.982073983213557,8,0.0,264.0,997.74609375
2026-01-20 17:38:24.350,42,82,26,20,20.992403943189483,7,0.0,279.6,997.40625
2026-01-20 17:38:24.450,42,70,27,19,20.971928952614576,7,0.0,300.5,1001.5546875
2026-01-20 17:38:24.545,42,59,24,17,21.0125224354457,7,0.0,291.8,1006.49609375
2026-01-20 17:38:24.642,42,68,24,17,21.13350479197973,7,0.0,299.8,997.32421875
2026-01-20 17:38:24.741,42,79,26,18,21.117214703309703,7,0.0,282.5,998.39453125
2026-01-20 17:38:24.839,42,80,26,16,21.11217635627764,7,0.0,285.7,997.71484375
2026-01-20 17:38:24.936,42,78,26,17,21.12843383528337,7,0.0,298.5,997.69140625
2026-01-20 17:38:25.034,42,75,25,16,21.135453623454723,7,0.0,277.9,998.39453125
2026-01-20 17:38:25.131,42,76,26,16,21.122762499960132,7,0.0,277.0,998.1015625
2026-01-20 17:38:25.183,42,72,26,17,21.09248186809991,7,0.0,269.1,1006.04296875
2026-01-20 17:38:25.238,42,67,24,18,21.021656651112906,7,0.0,275.4,997.60546875
2026-01-20 17:38:25.337,42,71,26,15,21.005927709588306,7,0.0,273.0,997.84375
2026-01-20 17:38:25.387,42,71,26,15,21.01999561321668,7,0.0,278.8,998.171875
2026-01-20 17:38:25.437,42,59,24,18,21.0166883660801,7,0.0,276.3,997.8046875
2026-01-20 17:38:25.536,42,73,30,18,20.979110941642386,7,0.0,303.1,998.23046875
2026-01-20 17:38:25.634,42,60,21,10,21.002491674389166,7,0.0,296.1,998.20703125
2026-01-20 17:38:25.737,42,73,25,16,20.94923001925951,7,0.0,273.0,997.92578125
2026-01-20 17:38:25.794,42,74,25,14,20.828449381200535,7,0.0,260.7,997.8671875
2026-01-20 17:38:25.844,42,64,22,17,20.827759858867477,7,0.0,300.0,998.8515625
2026-01-20 17:38:25.896,42,64,22,17,20.810120176266242,7,0.0,273.9,998.51953125
2026-01-20 17:38:25.994,42,73,24,15,20.820770680019763,7,0.0,283.5,998.31640625
2026-01-20 17:38:26.093,42,78,27,20,20.776319552365674,7,0.0,273.9,998.75390625
2026-01-20 17:38:26.192,42,70,25,18,20.756345881033287,7,0.0,272.6,998.53515625
2026-01-20 17:38:26.290,42,65,28,21,20.772166060291706,7,0.0,275.5,998.75
2026-01-20 17:38:26.389,42,64,25,17,20.7473962519879,7,0.0,273.6,999.625
2026-01-20 17:38:26.439,42,61,25,20,20.727334724170337,7,0.0,279.1,1000.140625
2026-01-20 17:38:26.489,42,61,25,20,20.69554831251072,7,0.0,298.1,1000.01953125
2026-01-20 17:38:26.586,42,54,23,17,20.70692348061084,7,0.0,298.1,1000.05859375
2026-01-20 17:38:26.683,42,64,23,12,20.75911960787872,7,0.0,278.6,1003.66015625
2026-01-20 17:38:26.735,42,73,25,14,20.806820147320526,7,0.0,272.1,1000.66796875
2026-01-20 17:38:26.832,42,62,19,12,20.83533331633334,7,0.0,276.8,1000.484375
2026-01-20 17:38:26.930,42,74,26,19,20.870150202109986,7,0.0,275.1,1000.8984375
2026-01-20 17:38:26.981,42,59,21,11,20.869461377377498,7,0.0,279.4,1000.3359375
2026-01-20 17:38:27.079,42,59,24,15,20.878242969825145,7,0.0,262.9,1000.31640625
2026-01-20 17:38:27.130,42,59,24,15,20.85161971138956,7,0.0,279.1,1000.4765625
2026-01-20 17:38:27.180,42,52,23,14,20.84636882476055,7,0.0,258.5,1001.19140625
2026-01-20 17:38:27.279,42,64,23,14,21.006864048762043,7,0.0,292.5,1000.515625
2026-01-20 17:38:27.377,42,62,23,15,21.04977957215267,7,0.0,276.4,1000.27734375
2026-01-20 17:38:27.475,42,66,21,16,21.051769344742155,7,0.0,283.9,999.81640625
2026-01-20 17:38:27.526,42,66,21,16,21.02261897919877,7,0.0,294.1,1000.5703125
2026-01-20 17:38:27.625,42,65,23,13,21.01513340686371,7,0.0,295.1,1008.68359375
2026-01-20 17:38:27.725,42,70,23,17,21.006958739393355,7,0.0,268.1,1007.5546875
2026-01-20 17:38:27.777,42,67,26,17,20.962219761832333,7,0.0,233.3,1007.71484375
2026-01-20 17:38:27.877,42,64,27,20,20.94677487661243,7,0.0,290.4,1004.39453125
2026-01-20 17:38:27.976,42,66,22,16,20.953562796683244,7,0.0,272.5,1003.58203125
