timestamp,total_kpts0,total_kpts1,matched_kpts,inliers,fps,gpu_usage_%,gpu_memory_mb,cpu_usage_%,memory_mb
2026-01-20 17:42:08.445,738,738,738,738,4.085650218099852,1,16.748046875,0.0,1428.26953125
2026-01-20 17:42:08.494,738,772,564,457,14.004669554322176,1,16.748046875,163.0,1460.42578125
2026-01-20 17:42:08.560,738,776,542,422,23.15654239468443,1,16.748046875,165.9,1453.46875
2026-01-20 17:42:08.614,738,776,542,422,27.854760516169854,1,16.748046875,148.8,1453.5859375
2026-01-20 17:42:08.674,738,787,536,400,31.065828372627482,1,16.748046875,148.7,1464.08203125
2026-01-20 17:42:08.739,738,871,533,379,35.39887048033891,1,16.748046875,154.0,1456.97265625
2026-01-20 17:42:08.797,738,1084,554,385,39.34659402961654,1,16.748046875,191.6,1456.83984375
2026-01-20 17:42:08.861,738,1084,554,385,42.21304110522303,1,16.748046875,125.5,1457.296875
2026-01-20 17:42:08.918,738,1367,563,384,44.9514454546851,1,16.748046875,156.3,1457.2109375
2026-01-20 17:42:08.976,738,1384,569,356,69.2841269246949,1,16.748046875,138.7,1456.89453125
2026-01-20 17:42:09.034,738,1384,569,356,70.5528199457912,1,16.748046875,137.8,1463.99609375
2026-01-20 17:42:09.092,738,1361,542,363,73.97191951507284,1,16.748046875,155.2,1456.9765625
2026-01-20 17:42:09.149,738,1012,543,332,75.45060208598419,1,16.748046875,157.2,1456.69140625
2026-01-20 17:42:09.203,738,1012,543,332,77.64540797908873,1,16.748046875,147.9,1456.86328125
2026-01-20 17:42:09.258,738,784,499,360,77.95500348486023,1,16.748046875,164.9,1456.6171875
2026-01-20 17:42:09.315,738,1048,544,368,79.56747568947789,1,16.748046875,158.3,1456.47265625
2026-01-20 17:42:09.369,738,1048,544,368,80.0186200554786,1,16.748046875,127.8,1463.3046875
2026-01-20 17:42:09.424,738,901,527,377,80.96564903915758,47,16.748046875,145.8,1463.35546875
2026-01-20 17:42:09.479,738,901,527,377,81.57611630658519,47,16.748046875,145.3,1463.4453125
2026-01-20 17:42:09.541,738,1000,543,373,80.64144459619072,47,16.748046875,146.0,1457.05859375
2026-01-20 17:42:09.600,738,1619,607,381,79.91931160810238,47,16.748046875,135.3,1457.59765625
2026-01-20 17:42:09.660,738,1619,607,381,78.78782490108405,47,16.748046875,166.3,1457.0859375
2026-01-20 17:42:09.719,738,1194,593,424,78.1106804361267,47,16.748046875,153.8,1460.9296875
2026-01-20 17:42:09.775,738,959,557,409,78.14337543487468,47,16.748046875,160.6,1457.51171875
2026-01-20 17:42:09.834,738,959,557,409,77.17968031208214,47,16.748046875,168.4,1457.578125
2026-01-20 17:42:09.892,738,910,552,411,76.73003255088439,47,16.748046875,138.0,1464.61328125
