PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_fenis_1_4,illumination,998,485,4.33,0.8976,0.4719,0.5661,0.6192,1,1,1,0.1024,0.7008,0.8205,0.9102
i_fenis_1_5,illumination,839,378,3.93,1.2501,0.4291,0.5089,0.5447,1,1,1,0.0000,0.5833,0.7500,0.8750
i_fenis_1_6,illumination,942,473,4.42,0.6832,0.4830,0.5775,0.6093,1,1,1,0.3168,0.7723,0.8634,0.9317
i_fog_1_2,illumination,1573,1445,4.47,0.1732,0.9218,0.9644,0.9771,1,1,1,0.8268,0.9423,0.9654,0.9827
i_fog_1_3,illumination,1308,1133,4.45,0.2778,0.8685,0.9067,0.9266,1,1,1,0.7222,0.9074,0.9444,0.9722
i_fog_1_4,illumination,1259,1091,5.29,0.4320,0.8626,0.9261,0.9412,1,1,1,0.5680,0.8560,0.9136,0.9568
i_fog_1_5,illumination,777,639,3.61,0.4221,0.8301,0.8533,0.8713,1,1,1,0.5779,0.8593,0.9156,0.9578
i_fog_1_6,illumination,704,566,4.37,0.4011,0.8125,0.8352,0.8423,1,1,1,0.5989,0.8663,0.9198,0.9599
i_fruits_1_2,illumination,1230,1119,10.89,0.2222,0.9106,0.9602,0.9732,1,1,1,0.7778,0.9259,0.9556,0.9778
i_fruits_1_3,illumination,1240,1076,5.76,0.2471,0.8669,0.9323,0.9565,1,1,1,0.7529,0.9176,0.9506,0.9753
i_fruits_1_4,illumination,1208,1051,4.59,0.3066,0.8692,0.9354,0.9553,1,1,1,0.6934,0.8978,0.9387,0.9693
i_fruits_1_5,illumination,1209,1045,4.66,0.3787,0.8660,0.9322,0.9562,1,1,1,0.6213,0.8738,0.9243,0.9621
i_fruits_1_6,illumination,1216,1064,4.32,0.4776,0.8717,0.9408,0.9613,1,1,1,0.5224,0.8408,0.9045,0.9522
i_gonnenberg_1_2,illumination,1506,1374,4.19,0.0000,0.9137,0.9422,0.9529,1,1,1,1.0000,1.0000,1.0000,1.0000
i_gonnenberg_1_3,illumination,1497,1357,4.38,1.0444,0.9038,0.9372,0.9599,1,1,1,0.0000,0.6519,0.7911,0.8956
i_gonnenberg_1_4,illumination,1423,1282,4.32,0.6030,0.8918,0.9353,0.9473,1,1,1,0.3970,0.7990,0.8794,0.9397
i_gonnenberg_1_5,illumination,1446,1303,8.29,0.3396,0.8983,0.9253,0.9440,1,1,1,0.6604,0.8868,0.9321,0.9660
i_gonnenberg_1_6,illumination,1478,1318,4.42,0.6768,0.8890,0.9249,0.9371,1,1,1,0.3232,0.7744,0.8646,0.9323
i_greenhouse_1_2,illumination,1487,1279,4.89,0.2821,0.8615,0.9045,0.9287,1,1,1,0.7179,0.9060,0.9436,0.9718
i_greenhouse_1_3,illumination,1505,1300,4.77,0.4782,0.8618,0.9063,0.9269,1,1,1,0.5218,0.8406,0.9044,0.9522
i_greenhouse_1_4,illumination,1431,1171,5.37,0.5953,0.8134,0.8658,0.8917,1,1,1,0.4047,0.8016,0.8809,0.9405
i_greenhouse_1_5,illumination,1394,1135,5.28,0.6221,0.8070,0.8644,0.8938,1,1,1,0.3779,0.7926,0.8756,0.9378
i_greenhouse_1_6,illumination,1279,964,4.79,0.7714,0.7435,0.8030,0.8342,1,1,1,0.2286,0.7429,0.8457,0.9229
